id,table,column,datatype,datatype_description,values,definitions,conditions
58,aw_data_civcas_incidents,press_release,varchar(255),Text (short),,"Reflecting US DoD reporting systems: a public press release (minimal detail acknowledging harm intended for public audiences), released by the US military and relating to US military action.",
59,aw_data_civcas_incidents,civilian_non_combatants_killed_min,int(11),Whole number,,,
60,aw_data_civcas_incidents,civilian_non_combatants_killed_max,int(11),Whole number,,,
61,aw_data_civcas_incidents,civilian_non_combatants_injured_min,int(11),Whole number,,,
62,aw_data_civcas_incidents,civilian_non_combatants_injured_max,int(11),Whole number,,,
63,aw_data_civcas_incidents,children_killed_min,int(11),Whole number,,"Airwars follows the ICRC designation of child soldiers in conflict: if those 17 or under are armed, Airwars designate those killed as combatants. See https://www.icrc.org/sites/default/files/external/doc/en/assets/files/other/icrc-002-0990.pdf",civilian_non_combatants_killed_min
64,aw_data_civcas_incidents,children_killed_max,int(11),Whole number,,"Airwars follows the ICRC designation of child soldiers in conflict: if those 17 or under are armed, Airwars designate those killed as combatants. See https://www.icrc.org/sites/default/files/external/doc/en/assets/files/other/icrc-002-0990.pdf",civilian_non_combatants_killed_max
65,aw_data_civcas_incidents,children_injured_min,int(11),Whole number,,"Airwars follows the ICRC designation of child soldiers in conflict: if those 17 or under are armed, Airwars designate those killed as combatants. See https://www.icrc.org/sites/default/files/external/doc/en/assets/files/other/icrc-002-0990.pdf",civilian_non_combatants_injured_min
66,aw_data_civcas_incidents,children_injured_max,int(11),Whole number,,"Airwars follows the ICRC designation of child soldiers in conflict: if those 17 or under are armed, Airwars designate those killed as combatants. See https://www.icrc.org/sites/default/files/external/doc/en/assets/files/other/icrc-002-0990.pdf",civilian_non_combatants_injured_max
67,aw_data_civcas_incidents,women_killed_min,int(11),Whole number,,,civilian_non_combatants_killed_min
68,aw_data_civcas_incidents,women_killed_max,int(11),Whole number,,,civilian_non_combatants_killed_max
69,aw_data_civcas_incidents,women_injured_min,int(11),Whole number,,,civilian_non_combatants_injured_min
70,aw_data_civcas_incidents,women_injured_max,int(11),Whole number,,,civilian_non_combatants_injured_max
71,aw_data_civcas_incidents,men_killed_min,int(11),Whole number,,,civilian_non_combatants_killed_min
72,aw_data_civcas_incidents,men_killed_max,int(11),Whole number,,,civilian_non_combatants_killed_max
73,aw_data_civcas_incidents,men_injured_min,int(11),Whole number,,,civilian_non_combatants_injured_min
74,aw_data_civcas_incidents,men_injured_max,int(11),Whole number,,,civilian_non_combatants_injured_max
75,aw_data_civcas_incidents,belligerents_killed_min,int(11),Whole number,,,
76,aw_data_civcas_incidents,belligerents_killed_max,int(11),Whole number,,,
77,aw_data_civcas_incidents,belligerents_injured_min,int(11),Whole number,,,
78,aw_data_civcas_incidents,belligerents_injured_max,int(11),Whole number,,,
79,aw_data_civcas_belligerents,id,int(11) unsigned,Whole number,,,
80,aw_data_civcas_belligerents,post_id,int(11),Whole number,,Refers to post_id from aw_data_civcas_incidents,
81,aw_data_civcas_belligerents,code,varchar(255),Text (short),,Refers to code from aw_data_civcas_incidents,
82,aw_data_civcas_belligerents,belligerent_id,int(11),Whole number,,,
83,aw_data_civcas_belligerents,belligerent_slug,varchar(255),Text (short),7th-brigade ; amisom-military-forces ; australian-military ; bahrain-military ; belgian-military ; canadian-military ; chadian-military ; danish-military ; dutch-military ; egyptian-military ; ethiopian-military-forces ; eu-military ; free-syrian-army ; french-military ; gaddafi-forces ; general-national-congress ; gna-turkish-military ; government-of-national-accord ; hezbollah-forces ; houthi-forces ; international-forces-unknown ; iranian-military ; iraq-government-forces ; iraq-irregular-forces ; isis ; israeli-military ; italian-military ; jordanian-military ; kenyan-defense-forces ; kenyan-military-forces ; kurdish-forces ; libyan-national-army ; libyan-rebel-forces ; lna-uae-military-egyptian-military ; nato-forces ; pakistani-military-forces ; palestinian-militants ; rebel-forces ; russian-military ; saudi-led-coalition ; somali-military-forces ; syrian-democratic-forces ; syrian-regime ; syrian-transitional-government-forces ; tribal-forces ; turkish-military ; us-forces ; us-security-contractors ; coalition ; uk-military ; ukrainian-military ; united-arab-emirates-military ; unknown ; yemeni-air-force ; ypg,"Reported perpetrator (military, militant group, coalition, etc.) ; Gaddafi Forces: Military forces loyal to Libyan dictator Muammar Gaddafi played a major role at the beginning of the Libyan Civil War in 2011, engaging in direct military action against rebels and NATO forces trying to overthrow the Gaddafir regime.
Airwars documented allegations of civilian harm from Gaddafi forces throughout the civil war. ; Government of National Accord: The Libyan Government of National Accord was the internationally-recognised government of Libya for the period 2015-2021. Its forces played a major role in the Libyan Civil War, in particular in conflict with the Libyan National Army of General Khalifa Haftar.
Airwars documented allegations of civilian harm from GNA and allied military actors throughout the Libyan Civil War. ; Iranian Military: The Iranian military has been directly and indirectly active in a number of modern military conflicts, including in Syria, and is engaged in an ongoing low intensity conflict with Israel.
Airwars has documented dozens of allegations of civilian harm from actions involving Iran-backed militant groups in Syria since 2017. ; Israeli Military: The Israel Defense Forces (IDF) have been active in a number of military campaigns, ostensibly against Palestinian militant groups and Iran-backed affiliates, leading to interventions in Gaza and the West Bank, Lebanon, Syria and Yemen.
Airwars has documented allegations of civilian harm from IDF actions in Gaza in May 2021 and since 2023, in Lebanon since 2024, Yemen since 2023 and in Syria over several decades. Airwars has produced a number of major investigations and research papers on harm caused by the IDF. ; Libyan National Army: The Libyan National Army, a separatist group under the control of General Khalifa Haftar, was directly active in the Libyan civil war against the forces of the Government of National Accord.
Airwars documented allegations of civilian harm caused by the Libyan National Army throughout the war. ; NATO forces: NATO forces have been directly active in a number of modern conflicts, including in Afghanistan and against the military of Libyan dictator Muammar Gaddafi in Libya in 2011.
Airwars documented hundreds of allegations of civilian harm from strikes in Libya in 2011, and has undertaken a number of investigations into NATO conduct. ; Palestinian Militants: Airwars tracked all allegations of civilian harm caused by Palestinian militants during the 2021 war between Israel and militant groups in Gaza. These were often reported due to misfiring rockets aimed at Israel, which landed in Gaza.
Following the large-scale attack on October 7, 2023 carried out by members of Hamas and other Palestinian militant groups, attributing civilian harm in Gaza to Palestinian militant action became less common, likely in part due to the overall scale and intensity of the wider bombardment. As such, where there is ambiguity regarding the perpetrator of civilian harm in Gaza, the incident will appear on this page, to facilitate further inquiry. ; Russian Military: The armed forces of Russia have been directly or indirectly active in a number of modern conflicts, including the 2022 full-scale invasion in Ukraine and through the provision of support to President Assad in Syria for almost a decade.
Airwars has documented thousands of allegations of civilian harm from alleged Russian strikes in Syria and Ukraine, and has produced a number of major investigations and research papers. ; Turkish Military: The armed forces of Türkiye have been directly or indirectly active in a number of modern conflicts, including Syria, Iraq, Libya, Somalia and Nagorno-Karabakh.
Airwars has documented allegations of civilian harm from Turkish actions in Iraq and Syria since 2015. ; U.S. Forces: The armed forces of the United States have been directly active in a number of military campaigns in recent decades, including in Afghanistan, Iraq, Syria, Yemen and Somalia.
Airwars has documented allegations of civilian harm from U.S. actions in multiple contexts including Somalia and Yemen, as well as conducted a number of major investigations. ; U.S.-led Coalition: The U.S.-led coalition in Iraq and Syria &#8211; officially known as Operation Inherent Resolve &#8211; has been directly active in a conflict with the Islamic State since August 2014.
Airwars has documented thousands of allegations of civilian harm from U.S.-led Coalition strikes across both countries since 2014, and produced a number of major research papers and investigations on the subject.",
84,aw_data_civcas_belligerents,type,varchar(255),Text (short),suspected ; known,"Whether the belligerent made a public statement, or was named by local sources only ; Suspected: local sources only ; Known: statement made",
85,aw_data_civcas_belligerents,assessment_slug,varchar(255),Text (short),credible-substantiated ; duplicate ; non-credible-unsubstantiated ; not-yet-assessed ; open-incident ; under-investigation,"Statements released by the perpetrator on their military action(s) and the resulting civilian harm if acknowledged ; Credible / Substantiated: Belligerent confirmed the incident ; Duplicate: Incident was deemed a ‘duplicate’ by the belligerent (note - duplicate values can be very unclear) ; Non credible / Unsubstantiated: Incident was rejected by the belligerent after an investigation ; Not yet assessed: Incident has not yet been assessed (note - this is not a consistent application of this code, this may also have been left as a blank field) ; Open incident: Incident has officially been deemed 'open' by the belligerent ; Under investigation: Belligerent is investigating the incident",
86,aw_data_civcas_belligerents,deaths_conceded_min,int(11),Whole number,,,
87,aw_data_civcas_belligerents,deaths_conceded_max,int(11),Whole number,,,
88,aw_data_civcas_belligerents,injuries_conceded_min,int(11),Whole number,,,
89,aw_data_civcas_belligerents,injuries_conceded_max,int(11),Whole number,,,
90,aw_data_civcas_belligerents,location,varchar(255),Text (short),,Location given by belligerent in their statement,belligerents belligerent_assessment != not_yet_assessed
91,aw_data_civcas_belligerents,mgrs_coordinate,varchar(255),Text (short),,Military Grid Reference System (MGRS),
92,aw_data_civcas_belligerents,mgrs_accuracy,varchar(255),Text (short),1 m ; 10 m ; 100 m,Accuracy of MGRS code,
93,aw_data_civcas_belligerents,civcas_statements,text,Text (long),,Copy of statement by the belligerent regarding CIVCAS allegation,
94,aw_data_civcas_belligerents,strike_reports,text,Text (long),,Copy of the strike report(s) relating to the incident and released by the belligerent,
95,aw_data_civcas_infrastructure,id,int(11) unsigned,Whole number,,,
96,aw_data_civcas_infrastructure,post_id,int(11),Whole number,,Refers to post_id from aw_data_civcas_incidents,
97,aw_data_civcas_infrastructure,code,varchar(255),Text (short),,Refers to code from aw_data_civcas_incidents,
98,aw_data_civcas_infrastructure,infrastructure_group_slug,varchar(255),Text (short),agriculture ; commerce ; communications ; cultural-site ; education ; emergency-services ; financial ; healthcare ; humanitarian ; idp-camp ; legal ; media ; religious ; residential ; resources ; transportation ; vehicle ; warehouse ; water,Type of affected facility or location,
99,aw_data_civcas_infrastructure,infrastructure_slug,varchar(255),Text (short),agricultural-land ; agriculture ; aid-convoy ; airport ; ambulance ; apartment-building ; atm ; bakery ; bank ; bicycle ; boat ; border-crossing ; bridge ; bus ; bus-stop ; butcher ; car ; church ; civil-defense-station ; clinic ; commerce ; communications ; construction-material ; consumer-goods ; courthouse ; cultural-site ; dam ; desalination-plant ; doctors-office ; education ; emergency-services ; equipment-machinery ; evacuation-route ; factory ; financial ; fire-station ; food-warehouse ; food-water-distribution ; gas-facility ; generator ; greenhouse ; grocery-store ; healthcare ; hospital ; house ; humanitarian ; idp-camp ; internet ; irrigation-system ; jail ; legal ; livestock ; market ; media ; military ; ministry ; mobile ; mosque ; motorcycle ; non-food-distribution ; nursery ; office ; oil-facility ; pharmacy ; police-station ; port ; power-station ; prayer-space ; primary-school ; prison ; produce-stand ; radio ; radio-station ; raw-material ; registration-site ; religious ; religious-school ; residential ; resources ; road ; roundabout ; secondary-school ; sewage-line ; shop ; silo ; solar-panels ; stabilisation-site ; storage ; synagogue ; telephone ; temple ; temporary-healthcare-facility ; temporary-office ; train-station ; transportation ; truck ; tunnel ; tv ; tv-station ; university-college ; vaccination-site ; vehicle ; vocational-school ; warehouse ; wastewater-treatment-plant ; water-warehouse ; water ; water-line ; water-tank ; well ; wind-turbine,Type of affected facility or location,
100,aw_data_civcas_infrastructure,infrastructure_affiliation_slug,varchar(255),Text (short),,taxnomy_infrastructure_affiliation,
101,aw_data_civcas_infrastructure,infrastructure_declared_target_slug,varchar(255),Text (short),no ; yes,,
102,aw_data_civcas_infrastructure,infrastructure_destruction_slug,varchar(255),Text (short),complete ; partial,Extent of destruction depending on imagery available or source description,
104,aw_data_civcas_victims,id,int(11) unsigned,Whole number,,,
105,aw_data_civcas_victims,post_id,int(11),Whole number,,Refers to post_id from aw_data_civcas_incidents,
106,aw_data_civcas_victims,code,varchar(255),Text (short),,Refers to code from aw_data_civcas_incidents,
107,aw_data_civcas_victims,date,date,Date,,Refers to date from aw_data_civcas_incidents,
108,aw_data_civcas_victims,name,varchar(255),Text (short),,English transliteration,
109,aw_data_civcas_victims,name_local,varchar(255),Text (short),,,
